,block,street_name,formatted,latitude,longitude,x,y,postal
0,309,ANG MO KIO AVE 1,309 ANG MO KIO AVE 1,1.36582089504381,103.842847772078,29060.4855782297,38651.0529769398,560207
1,216,ANG MO KIO AVE 1,216 ANG MO KIO AVE 1,1.36619678831054,103.841505011903,28911.0522399368,38692.6167905722,560216
2,211,ANG MO KIO AVE 3,211 ANG MO KIO AVE 3,1.369196965617,103.841666636086,28929.0379298814,39024.3611866981,560211
3,202,ANG MO KIO AVE 3,202 ANG MO KIO AVE 3,1.36844644010937,103.844516260527,29246.1670971215,38941.3731856421,560202
4,235,ANG MO KIO AVE 3,235 ANG MO KIO AVE 3,1.36682360872342,103.83649123351,28353.0784864286,38761.9260844272,560235
5,232,ANG MO KIO AVE 3,232 ANG MO KIO AVE 3,1.36834606813391,103.837196046409,28431.5154539887,38930.2720091287,560232
6,308,ANG MO KIO AVE 1,308 ANG MO KIO AVE 1,1.36569665029696,103.844347269095,29227.361780446,38637.3153379746,563308
7,220,ANG MO KIO AVE 1,220 ANG MO KIO AVE 1,1.36558833593063,103.840518883254,28801.3080979744,38625.3368742224,560220
8,219,ANG MO KIO AVE 1,219 ANG MO KIO AVE 1,1.36598198004505,103.840654039612,28816.3492579265,38668.8640811536,560219
9,247,ANG MO KIO AVE 3,247 ANG MO KIO AVE 3,1.36705284380639,103.846987446489,29521.1812102096,38787.2778211571,560327
10,320,ANG MO KIO AVE 1,320 ANG MO KIO AVE 1,1.36559244608528,103.848386744168,29676.907292584,38625.7954039071,560320
11,252,ANG MO KIO AVE 4,252 ANG MO KIO AVE 4,1.37858940772641,103.840329743826,28780.2549294876,40062.9291987028,560641
12,223,ANG MO KIO AVE 1,223 ANG MO KIO AVE 1,1.36604808445916,103.838122716883,28534.6432265872,38676.1728609148,560223
13,230,ANG MO KIO AVE 3,230 ANG MO KIO AVE 3,1.36885445228086,103.837896397823,28509.4560266165,38986.4866770636,560230
14,329,ANG MO KIO AVE 3,329 ANG MO KIO AVE 3,1.36659908629034,103.846874419073,29508.602895556,38737.1035531238,560329
15,313,ANG MO KIO AVE 3,313 ANG MO KIO AVE 3,1.36664972640598,103.850133665442,29871.3180071767,38742.7053699438,560313
16,117,ANG MO KIO AVE 4,117 ANG MO KIO AVE 4,1.3737170825368,103.835610469339,28255.0592533173,39524.1712259967,560117
17,110,ANG MO KIO AVE 4,110 ANG MO KIO AVE 4,1.37045937010888,103.837419259859,28456.3560250094,39163.9502265006,560110
18,343,ANG MO KIO AVE 3,343 ANG MO KIO AVE 3,1.36837474759489,103.849151113749,29761.9704968724,38933.448694557,560343
19,345,ANG MO KIO AVE 3,345 ANG MO KIO AVE 3,1.36748702509964,103.849651723914,29817.6830492252,38835.2892298773,560345
20,346,ANG MO KIO AVE 3,346 ANG MO KIO AVE 3,1.36709586875167,103.84966230288,29818.8606554,38792.0371589176,560346
21,121,ANG MO KIO AVE 3,121 ANG MO KIO AVE 3,1.36970563478325,103.843515981311,29134.847476338,39080.6080294997,560121
22,129,ANG MO KIO AVE 3,129 ANG MO KIO AVE 3,1.36989498895756,103.842059049722,28972.7085465211,39101.545211073,560129
23,130,ANG MO KIO AVE 3,130 ANG MO KIO AVE 3,1.37039791675237,103.841878840032,28952.653192386,39157.1563354116,560130
24,128,ANG MO KIO AVE 3,128 ANG MO KIO AVE 3,1.37083202800001,103.843546990613,29138.2979054097,39205.1588756125,560128
25,127,ANG MO KIO AVE 3,127 ANG MO KIO AVE 3,1.37122322102767,103.843593321222,29143.4537537564,39248.4150327519,560127
26,126,ANG MO KIO AVE 3,126 ANG MO KIO AVE 3,1.37164990020956,103.843644176374,29149.1131100124,39295.5950707626,560126
27,403,ANG MO KIO AVE 10,403 ANG MO KIO AVE 10,1.36126901451361,103.854642365822,30373.0877168132,38147.7376024462,560403
28,404,ANG MO KIO AVE 10,404 ANG MO KIO AVE 10,1.36167767060852,103.854726492538,30382.4496344449,38192.9247964099,560404
29,405,ANG MO KIO AVE 10,405 ANG MO KIO AVE 10,1.36157912717139,103.853805386957,30279.9414777411,38182.0274747685,560405
30,417,ANG MO KIO AVE 10,417 ANG MO KIO AVE 10,1.36495953274783,103.855197097728,30434.8191788001,38555.8168849312,560417
31,418,ANG MO KIO AVE 10,418 ANG MO KIO AVE 10,1.3649460137791,103.854043379775,30306.424086879,38554.3208898362,560418
32,419,ANG MO KIO AVE 10,419 ANG MO KIO AVE 10,1.36534669720177,103.85415182597,30318.4924768107,38598.6265287735,560419
33,441,ANG MO KIO AVE 10,441 ANG MO KIO AVE 10,1.36605027829032,103.854168309853,30320.3262626035,38676.4249629509,560441
34,442,ANG MO KIO AVE 10,442 ANG MO KIO AVE 10,1.36565326940253,103.855232195496,30438.7244448634,38632.5267916098,560442
35,443,ANG MO KIO AVE 10,443 ANG MO KIO AVE 10,1.36604388871674,103.855368968681,30453.9452755675,38675.7196281254,560443
36,444,ANG MO KIO AVE 10,444 ANG MO KIO AVE 10,1.36660045321147,103.855578790668,30477.2953905342,38737.2619152144,560444
37,450,ANG MO KIO AVE 10,450 ANG MO KIO AVE 10,1.36848406233048,103.855468149019,30464.9803770706,38945.5417226274,560450
38,435,ANG MO KIO AVE 10,435 ANG MO KIO AVE 10,1.36770367834269,103.854214313011,30325.4442759706,38859.2495776638,560435
39,433,ANG MO KIO AVE 10,433 ANG MO KIO AVE 10,1.36807652285135,103.854353042615,30340.8828545492,38900.4769626576,560433
40,434,ANG MO KIO AVE 10,434 ANG MO KIO AVE 10,1.3678915069194,103.85345502653,30240.9446312711,38880.0179849602,560434
41,424,ANG MO KIO AVE 3,424 ANG MO KIO AVE 3,1.36860660305158,103.850808805402,29946.4514361909,38959.0873717722,560424
42,425,ANG MO KIO AVE 3,425 ANG MO KIO AVE 3,1.36912241721255,103.851616057064,30036.2883857982,39016.1241484135,560425
43,466,ANG MO KIO AVE 10,466 ANG MO KIO AVE 10,1.36581960538764,103.857061606231,30642.3158929367,38650.9213112108,560466
44,471,ANG MO KIO AVE 10,471 ANG MO KIO AVE 10,1.36346600647245,103.856702918462,30602.400746109,38390.6719205808,560471
45,474,ANG MO KIO AVE 10,474 ANG MO KIO AVE 10,1.36275784702216,103.858015323667,30748.4567525107,38312.3687072396,560474
46,570,ANG MO KIO AVE 3,570 ANG MO KIO AVE 3,1.3697435855576,103.856023138277,30526.7426821338,39084.8139777128,560570
47,586,ANG MO KIO AVE 3,586 ANG MO KIO AVE 3,1.37030352965928,103.853455898206,30241.039400328,39146.7271989435,560586
48,455,ANG MO KIO AVE 10,455 ANG MO KIO AVE 10,1.36951942637994,103.848462230319,29685.3052657386,39060.0209576953,567751
49,465,ANG MO KIO AVE 10,465 ANG MO KIO AVE 10,1.3662010408294,103.857200967235,30657.8246932384,38693.0986568723,560465
50,463,ANG MO KIO AVE 10,463 ANG MO KIO AVE 10,1.36694793518613,103.857487648675,30689.7280863831,38775.686757328,560463
51,564,ANG MO KIO AVE 3,564 ANG MO KIO AVE 3,1.36984837555524,103.859404131956,30903.0062578218,39096.404950738,560564
52,560,ANG MO KIO AVE 10,560 ANG MO KIO AVE 10,1.37081626777721,103.859192334256,30879.4345812146,39203.4293024875,560560
53,558,ANG MO KIO AVE 10,558 ANG MO KIO AVE 10,1.37123613284274,103.859192016193,30879.3986833859,39249.8558493126,560558
54,559,ANG MO KIO AVE 10,559 ANG MO KIO AVE 10,1.37099810674697,103.857856391877,30730.7602126142,39223.5345685277,560559
55,538,ANG MO KIO AVE 5,538 ANG MO KIO AVE 5,1.37559336678106,103.853347801104,30229.0046078581,39731.6504149698,560538
56,534,ANG MO KIO AVE 10,534 ANG MO KIO AVE 10,1.37405846295585,103.854168170426,30320.30304706,39561.9293249641,560534
57,601,ANG MO KIO AVE 5,601 ANG MO KIO AVE 5,1.38104134784496,103.835131744823,28201.7824866865,40334.0512122996,560601
58,603,ANG MO KIO AVE 5,603 ANG MO KIO AVE 5,1.38020079047279,103.83575571651,28271.2227501068,40241.1067093387,560603
59,604,ANG MO KIO AVE 5,604 ANG MO KIO AVE 5,1.37986658053966,103.835976650638,28295.8099781042,40204.1514989082,560604
60,608,ANG MO KIO AVE 5,608 ANG MO KIO AVE 5,1.37858209980487,103.836760311526,28383.0217854837,40062.1202565692,560608
61,611,ANG MO KIO AVE 5,611 ANG MO KIO AVE 5,1.37829205175133,103.83725190016,28437.7295013135,40030.0483010225,560611
62,505,ANG MO KIO AVE 8,505 ANG MO KIO AVE 8,1.3748597302123,103.850224901404,29881.4650763059,39650.5259228665,560505
63,503,ANG MO KIO AVE 5,503 ANG MO KIO AVE 5,1.37546163119278,103.848942047568,29738.6988365194,39717.0801037718,560503
64,610,ANG MO KIO AVE 4,610 ANG MO KIO AVE 4,1.37939470300077,103.839157232686,28649.7688949835,40151.9743075874,560610
65,607,ANG MO KIO AVE 4,607 ANG MO KIO AVE 4,1.38046758670091,103.838816721629,28611.8740149969,40270.6082471721,560607
66,524,ANG MO KIO AVE 5,524 ANG MO KIO AVE 5,1.3733782941643,103.853042534069,30195.0341838365,39486.7186520565,560524
67,513,ANG MO KIO AVE 8,513 ANG MO KIO AVE 8,1.37273696913231,103.850194854525,29878.1228855439,39415.8017650489,560513
68,643,ANG MO KIO AVE 5,643 ANG MO KIO AVE 5,1.3775062692911,103.840557182306,28805.5663492633,39943.1613296438,560643
69,542,ANG MO KIO AVE 10,542 ANG MO KIO AVE 10,1.37473841331656,103.855876768354,30510.4482763158,39637.1165099163,560542
70,548,ANG MO KIO AVE 10,548 ANG MO KIO AVE 10,1.37291376311161,103.85704609864,30640.5823244378,39435.3572131656,560548
71,550,ANG MO KIO AVE 10,550 ANG MO KIO AVE 10,1.37360769512088,103.85820494173,30769.5465755248,39512.0900024399,560550
72,639,ANG MO KIO AVE 6,639 ANG MO KIO AVE 6,1.37993407100545,103.84246297225,29017.6559877852,40211.6160377115,560639
73,637,ANG MO KIO AVE 6,637 ANG MO KIO AVE 6,1.38036187235317,103.842334616577,29003.371436622,40258.9200836532,560637
74,330,ANG MO KIO AVE 1,330 ANG MO KIO AVE 1,1.36243186402478,103.851030689651,29971.1495055445,38276.3163302261,560330
75,333,ANG MO KIO AVE 1,333 ANG MO KIO AVE 1,1.3613425564061,103.851698621454,30045.4833755,38155.8667959049,560333
76,156,ANG MO KIO AVE 4,156 ANG MO KIO AVE 4,1.37549519574964,103.839947470774,28737.7136718566,39720.7868421301,560156
77,152,ANG MO KIO AVE 5,152 ANG MO KIO AVE 5,1.3766876256746,103.840159506601,28761.3102590153,39852.6397485118,560152
