month,1 ROOM,2 ROOM,3 ROOM,4 ROOM,5 ROOM,EXECUTIVE,MULTI-GENERATION
1990-01-01,7300.0,18950.0,42000.0,78000.0,130000.0,182000.0,
1990-02-01,7500.0,17000.0,45000.0,80000.0,128000.0,178000.0,
1990-03-01,7000.0,18350.0,43000.0,79250.0,127000.0,183500.0,
1990-04-01,7300.0,18900.0,44000.0,80100.0,127000.0,185000.0,
1990-05-01,8500.0,17000.0,43000.0,80000.0,139000.0,187200.0,
1990-06-01,7300.0,19050.0,43500.0,81250.0,131000.0,180000.0,
1990-07-01,7300.0,19000.0,43000.0,82000.0,140000.0,180000.0,
1990-08-01,8500.0,19550.0,42000.0,80000.0,139000.0,193000.0,
1990-09-01,9500.0,17650.0,43000.0,75000.0,134500.0,190000.0,
1990-10-01,7500.0,18950.0,45000.0,82000.0,129000.0,186500.0,
1990-11-01,7650.0,18900.0,42500.0,80000.0,127000.0,186250.0,
1990-12-01,7400.0,19000.0,45500.0,78000.0,127000.0,192500.0,
1991-01-01,7840.0,19000.0,45500.0,80000.0,130000.0,185750.0,
1991-02-01,8000.0,18500.0,45000.0,75050.0,130000.0,180000.0,
1991-03-01,7300.0,21000.0,45500.0,78500.0,130000.0,180000.0,
1991-04-01,8000.0,19000.0,45000.0,80000.0,127000.0,178950.0,150000.0
1991-05-01,9000.0,21500.0,45000.0,80000.0,135000.0,180000.0,
1991-06-01,8250.0,24000.0,45000.0,80000.0,132000.0,190000.0,180000.0
1991-07-01,10200.0,19000.0,45000.0,80000.0,139500.0,198900.0,
1991-08-01,7250.0,19000.0,45000.0,80000.0,138940.0,198500.0,
1991-09-01,9200.0,19000.0,45000.0,80000.0,145000.0,196500.0,
1991-10-01,10200.0,22500.0,45000.0,82000.0,139750.0,191000.0,
1991-11-01,7300.0,18900.0,45000.0,80000.0,140000.0,200000.0,
1991-12-01,8000.0,19000.0,45000.0,75000.0,140000.0,192500.0,
1992-01-01,9500.0,20250.0,45500.0,80000.0,138800.0,195750.0,
1992-02-01,9750.0,19000.0,46700.0,80000.0,135000.0,200000.0,
1992-03-01,9000.0,19750.0,46000.0,82000.0,142000.0,200000.0,
1992-04-01,8000.0,16000.0,47000.0,86000.0,150000.0,206000.0,
1992-05-01,7300.0,22000.0,46700.0,88000.0,147500.0,205500.0,
1992-06-01,10000.0,20000.0,47000.0,85000.0,150000.0,206500.0,292000.0
1992-07-01,9000.0,21400.0,47000.0,89550.0,150000.0,220000.0,141000.0
1992-08-01,8500.0,21500.0,47000.0,89500.0,164500.0,223500.0,245000.0
1992-09-01,10000.0,20000.0,47000.0,89500.0,160000.0,221000.0,195000.0
1992-10-01,10000.0,20000.0,48000.0,91000.0,165000.0,230000.0,248000.0
1992-11-01,10000.0,22200.0,48000.0,93000.0,162000.0,223000.0,262000.0
1992-12-01,13100.0,26000.0,48000.0,90500.0,163500.0,234900.0,245000.0
1993-01-01,10000.0,19000.0,50000.0,93000.0,165000.0,234000.0,278000.0
1993-02-01,10000.0,28900.0,47000.0,93000.0,166250.0,230250.0,255000.0
1993-03-01,7500.0,21410.0,50000.0,96000.0,175000.0,234000.0,230000.0
1993-04-01,11400.0,19500.0,50000.0,100000.0,178900.0,239000.0,240000.0
1993-05-01,11000.0,29000.0,58800.0,115000.0,186500.0,256000.0,249000.0
1993-06-01,,31000.0,65000.0,120000.0,195750.0,265000.0,265000.0
1993-07-01,19000.0,33000.0,74000.0,130000.0,220000.0,275500.0,265000.0
1993-08-01,20500.0,40000.0,75000.0,140000.0,232000.0,300000.0,330000.0
1993-09-01,15750.0,38000.0,79000.0,145000.0,240000.0,318500.0,333500.0
1993-10-01,24250.0,42000.0,85000.0,160000.0,255000.0,332500.0,340000.0
1993-11-01,15500.0,41000.0,86000.0,160000.0,260000.0,337000.0,375000.0
1993-12-01,20000.0,41000.0,85000.0,165000.0,260000.0,335000.0,350000.0
1994-01-01,23000.0,40000.0,87500.0,163000.0,260000.0,340000.0,367500.0
1994-02-01,18000.0,40000.0,86000.0,165000.0,262000.0,345000.0,376000.0
1994-03-01,23000.0,42000.0,88000.0,165000.0,265000.0,355000.0,382500.0
1994-04-01,26000.0,43000.0,90000.0,170000.0,273000.0,355000.0,400000.0
1994-05-01,22000.0,42000.0,90000.0,172000.0,270000.0,360000.0,265000.0
1994-06-01,28000.0,46000.0,91000.0,175000.0,282500.0,368000.0,415000.0
1994-07-01,28000.0,45000.0,92000.0,175000.0,280000.0,383000.0,420000.0
1994-08-01,29500.0,46750.0,95000.0,178000.0,285000.0,378000.0,420000.0
1994-09-01,,48500.0,95000.0,176000.0,291000.0,381000.0,420000.0
1994-10-01,32300.0,45000.0,98000.0,180000.0,293000.0,385000.0,
1994-11-01,24000.0,47000.0,98000.0,183000.0,288000.0,370000.0,455000.0
1994-12-01,25000.0,47050.0,98000.0,180000.0,298000.0,391000.0,540000.0
1995-01-01,28000.0,45000.0,100000.0,183000.0,300000.0,400000.0,470000.0
1995-02-01,30500.0,51500.0,100000.0,183000.0,300500.0,390000.0,429000.0
1995-03-01,30500.0,54000.0,103500.0,186000.0,306800.0,390000.0,
1995-04-01,29500.0,55000.0,110000.0,198000.0,310000.0,416500.0,464000.0
1995-05-01,35000.0,57000.0,116000.0,205000.0,325000.0,420000.0,500000.0
1995-06-01,31000.0,60000.0,118000.0,208000.0,328000.0,425000.0,480000.0
1995-07-01,34000.0,58000.0,120000.0,215000.0,330000.0,445000.0,475000.0
1995-08-01,35500.0,60000.0,120000.0,222000.0,338000.0,443000.0,505000.0
1995-09-01,41000.0,63000.0,124000.0,220000.0,345000.0,450500.0,600000.0
